ticker,valuation_year,implied_upside,t_bond_rate,beta_ewm_median,volatility_21d_mean,volatility_21d_max,log_volume_mean,market_deviation_mean,market_deviation_std,market_momentum_mean,market_momentum_std,market_3y_return,real_alpha,alpha_hat
FDBC,2022,-0.3060798135616025,0.0388,0.709327112661598,0.0226748205486687,0.0553189752321646,8.450118972785845,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,0.0411455857213943,0.0033263398982463304
FDBC,2023,-0.3644047143948171,0.0388,0.6063918893763469,0.0189506648779148,0.0300995059350174,8.801955068390972,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,0.0710124568657835,-0.04314865806120861
FDBC,2024,-0.4738977707363846,0.0458,0.7779760431813139,0.0225613320990322,0.0465206234117248,8.751417771550658,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,-0.4535770322969057,-0.1459455841180254
FDBC,2025,-0.3097897375901782,0.0418,0.9629548832516264,0.0253771408709125,0.0465206234117248,8.726264396796367,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.2140958571747628,-0.11330190561668271
AAP,2022,-0.5147629096411552,0.0388,0.8473071965072391,0.0193348484474307,0.0426699817995453,13.5310453593118,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.1342215645088136,0.05246193945472184
AAP,2023,0.3482500125219807,0.0388,0.8998421747912573,0.0255903156637838,0.0969813440372728,13.964223901585909,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.8228110308690816,-0.2634699671174921
CBU,2022,-0.181698211532629,0.0388,0.6282200312598373,0.0150898009470754,0.0239127919259539,12.169028288345356,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,0.0539942613917237,0.10118975175683549
CBU,2023,0.1954575489716004,0.0388,0.67993679554344,0.0184437520448339,0.0316412795749616,12.40277342478582,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.363764939759177,-0.05073824023761453
SAIA,2022,-0.9526783119344387,0.0388,1.5473002450442577,0.0292007225107657,0.0496528611663331,12.552440167575668,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,0.1260255593359545,0.01955112549793204
SAIA,2023,-0.947154587406956,0.0388,1.517155872997506,0.0301477181383932,0.0496528611663331,12.820704858642417,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,0.8090440911667545,-0.0028178856121431894
